ZIP Code,year,Weighted Average HDD
27006.0,2020,3328.4601011366462
27007.0,2020,3227.767785174173
27009.0,2020,3277.636858582596
27010.0,2020,3329.758509036237
27011.0,2020,3437.8683605862657
27012.0,2020,3318.22235943851
27013.0,2020,3355.982123580609
27014.0,2020,3353.754814255485
27016.0,2020,3391.986899770292
27017.0,2020,3227.767785174173
27018.0,2020,3381.257722437479
27019.0,2020,3325.0413332652124
27020.0,2020,3227.767785174173
27021.0,2020,3353.566748147209
27022.0,2020,3356.403849322666
27023.0,2020,3337.58332206398
27024.0,2020,3227.767785174173
27025.0,2020,3290.791586061774
27027.0,2020,3297.3384998955958
27028.0,2020,3360.6382140728606
27030.0,2020,3624.8725054683127
27031.0,2020,3227.767785174173
27040.0,2020,3337.127190944815
27041.0,2020,3227.767785174173
27042.0,2020,3299.2233472489893
27043.0,2020,3227.767785174173
27045.0,2020,3325.631845086171
27046.0,2020,3336.827223871753
27047.0,2020,3227.767785174173
27048.0,2020,3295.590844336037
27049.0,2020,3227.767785174173
27050.0,2020,3346.4920628592963
27051.0,2020,3286.044349152128
27052.0,2020,3317.707908136543
27053.0,2020,3372.717353086172
27054.0,2020,3337.686059476958
27055.0,2020,3402.473220009444
27094.0,2020,3227.767785174173
27098.0,2020,3227.767785174173
27099.0,2020,3227.767785174173
27101.0,2020,3290.279120792352
27102.0,2020,3324.217533574016
27103.0,2020,3303.4079355139384
27104.0,2020,3311.3869000488667
27105.0,2020,3299.943357436465
27106.0,2020,3316.4370659878123
27107.0,2020,3269.870446077204
27108.0,2020,3227.767785174173
27109.0,2020,3305.9003398372865
27110.0,2020,3287.067768066645
27111.0,2020,3227.767785174173
27113.0,2020,3227.767785174173
27114.0,2020,3227.767785174173
27115.0,2020,3227.767785174173
27116.0,2020,3227.767785174173
27117.0,2020,3227.767785174173
27120.0,2020,3227.767785174173
27127.0,2020,3288.331497386938
27130.0,2020,3227.767785174173
27150.0,2020,3227.767785174173
27151.0,2020,3227.767785174173
27152.0,2020,3227.767785174173
27155.0,2020,3227.767785174173
27156.0,2020,3227.767785174173
27157.0,2020,3297.9411195738185
27198.0,2020,3227.767785174173
27199.0,2020,3227.767785174173
27201.0,2020,3227.767785174173
27202.0,2020,3168.454476706268
27203.0,2020,3156.409960387013
27204.0,2020,3156.3457197101293
27205.0,2020,3148.2400560602678
27207.0,2020,3051.01407226498
27208.0,2020,3072.3073052893046
27209.0,2020,3055.1899405100853
27212.0,2020,3175.55055528846
27213.0,2020,3063.1990292711703
27214.0,2020,3210.7013125002986
27215.0,2020,3141.041664350008
27216.0,2020,3142.1989850872224
27217.0,2020,3139.966875070802
27220.0,2020,3227.767785174173
27228.0,2020,3227.767785174173
27229.0,2020,3032.707352105648
27230.0,2020,3164.829464125669
27231.0,2020,3101.038747007756
27233.0,2020,3165.951556736737
27235.0,2020,3235.631543505959
27237.0,2020,3227.767785174173
27239.0,2020,3181.2369427346634
27242.0,2020,3030.9456062665604
27243.0,2020,3092.621658122692
27244.0,2020,3161.1505074021734
27247.0,2020,3083.4102795653102
27248.0,2020,3149.476844265168
27249.0,2020,3172.1430864727045
27252.0,2020,3032.657378474604
27253.0,2020,3121.114905596301
27256.0,2020,3018.3664978852285
27258.0,2020,3118.344678260088
